Rank,Title,Runtime,Genre,Rating,Director,Lead,Votes,Budget,Sequel,Rounded
372,Enola Holmes,123,Action,6.6,Harry Bradbeer,Millie Bobby Brown,59,20000000,0,7
373,The Judge,141,Crime,7.4,David Dobkin,Robert Downey Jr.,56,50000000,0,7
374,Troll,101,Action,5.8,Roar Uthaug,Ine Marie Wilmann,146,,0,6
375,Training Day,122,Action,7.7,Antoine Fuqua,Denzel Washington,157,45000000,0,8
376,The Maze Runner,113,Action,6.8,Wes Ball,Dylan O'Brien,167,34000000,0,7
377,Mulholland Drive,147,Drama,7.9,David Lynch,Naomi Watts,130,15000000,0,8
378,Wind River,107,Crime,7.7,Taylor Sheridan,Elizabeth Olsen,91,11000000,0,8
379,American Hustle,138,Crime,7.2,David O. Russell,Christian Bale,171,40000000,0,7
380,Moonfall,130,Action,5.1,Roland Emmerich,Halle Berry,238,140000000,0,5
381,The Curious Case of Benjamin Button,166,Drama,7.8,David Fincher,Brad Pitt,203,150000000,0,8
382,Riddick,119,Action,6.4,David Twohy,Vin Diesel,45,38000000,0,6
383,Troy,163,Drama,7.3,Wolfgang Petersen,Brad Pitt,180,185000000,0,7
384,Thor,115,Action,7,Kenneth Branagh,Chris Hemsworth,242,250000000,0,7
385,Captain America: The First Avenger,124,Action,6.9,Joe Johnston,Chris Evans,241,140000000,0,7
386,Zoolander,90,Comedy,6.5,Ben Stiller,Ben Stiller,102,28000000,0,7
387,Shooter,124,Action,7.1,Antoine Fuqua,Mark Wahlberg,125,61000000,0,7
388,Palm Springs,90,Comedy,7.4,Max Barbakow,Andy Samberg,42,5000000,0,7
389,The Social Network,120,Biography,7.8,David Fincher,Jesse Eisenberg,213,40000000,0,8
390,Dark Waters,126,Biography,7.6,Todd Haynes,Mark Ruffalo,246,11100000,0,8
391,Lou,107,Action,6.1,Anna Foerster,Allison Janney,95,,0,6
392,Jurassic World,124,Action,6.9,Colin Trevorrow,Chris Pratt,201,150000000,1,7
393,Annihilation,115,Adventure,6.8,Alex Garland,Natalie Portman,120,40000000,0,7
394,Turning Red,100,Animation,7,Domee Shi,Rosalie Chiang,19,175000000,0,7
