Rank,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes
69,Swiss Army Man,97,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9,Daniel Kwan,Paul Dano,"126,433"
70,Avengers: Endgame,181,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,Anthony Russo,Robert Downey Jr.,"1,159,336"
71,Amsterdam,134,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,David O. Russell,Christian Bale,"70,598"
72,Midsommar,148,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.1,Ari Aster,Florence Pugh,"340,048"
73,Avatar,162,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.9,James Cameron,Sam Worthington,"1,330,228"
74,Spider-Man: No Way Home,148,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.2,Jon Watts,Tom Holland,"779,353"
75,Watcher,96,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.3,Chloe Okuno,Maika Monroe,"29,467"
76,The Departed,151,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.5,Martin Scorsese,Leonardo DiCaprio,"1,342,736"
77,Black Swan,108,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,Darren Aronofsky,Natalie Portman,"780,959"
78,The Northman,137,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Robert Eggers,Alexander Skarsgård,"221,598"
79,"Argentina, 1985",140,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7.6,Santiago Mitre,Ricardo Darín,"23,198"
80,Joker,122,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.4,Todd Phillips,Joaquin Phoenix,"1,326,218"
81,CODA,111,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Sian Heder,Emilia Jones,"141,714"
82,Jurassic World: Dominion,147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.6,Colin Trevorrow,Chris Pratt,"177,029"
83,The Hangover,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Todd Phillips,Zach Galifianakis,"799,230"
84,Thor: Love and Thunder,118,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Taika Waititi,Chris Hemsworth,"352,125"
85,The Lord of the Rings: The Return of the King,201,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Peter Jackson,Elijah Wood,"1,869,428"
86,Crazy Rich Asians,120,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9,Jon M. Chu,Constance Wu,"177,872"
87,The Magnificent Seven,132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.8,Antoine Fuqua,Denzel Washington,"216,314"
88,Marcel the Shell with Shoes On,90,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Dean Fleischer Camp,Jenny Slate,"15,952"
89,Bodies Bodies Bodies,94,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.2,Halina Reijn,Amandla Stenberg,"43,482"
90,Inglourious Basterds,153,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,Quentin Tarantino,Brad Pitt,"1,474,030"
91,Black Panther,134,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,Ryan Coogler,Chadwick Boseman,"793,548"
92,Whiplash,106,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,Damien Chazelle,Miles Teller,"887,314"
93,Burlesque,119,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.4,Steve Antin,Cher,"88,402"
94,Green Book,130,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.2,Peter Farrelly,Viggo Mortensen,"508,488"
95,The Gray Man,122,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.5,Anthony Russo,Ryan Gosling,"210,687"
96,Old,108,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.8,M. Night Shyamalan,Gael García Bernal,"129,315"
